inference_steps,batch,time,time_per_image
50.0,1.0,8.756369829177856,8.756369829177856
50.0,2.0,13.291382789611816,6.645691394805908
50.0,4.0,24.789891004562378,6.1974727511405945
50.0,8.0,48.802454471588135,6.100306808948517
50.0,12.0,76.43716597557068,6.369763831297557
50.0,16.0,96.90008592605591,6.056255370378494
